Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Req,Digikey part number,Mouser Part Number,Part URL
1,Unpolarized capacitor,C,C1 C2 C4 C9 C12 C14 C16 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C42 C44 C46 C47 C48 C49 C50 C51 C52 C60,100n,C_0603,30,50V/X7R/10%,478-10346-1-ND,,https://www.digikey.com/product-detail/en/avx-corporation/06035C104KAT4A/478-10346-1-ND/6797442
2,,Csmall,C8,100n,C_0603,1,50V/X7R/10%,478-10346-1-ND,,https://www.digikey.com/product-detail/en/avx-corporation/06035C104KAT4A/478-10346-1-ND/6797442
3,Polarised capacitor,CP_Small,C30 C31 C53 C59,100u,c_elec_6.3x7.7,4,35V/20%,N/A,667-EEE-FKV101XAP,https://www.mouser.com/ProductDetail/Panasonic/EEE-FKV101XAP?qs=MNPzkKEzRtSH%252BoDJxq1kkw%3D%3D
4,Unpolarized capacitor,C,C3,10u,C_0603,1,"6,3V/X5R/20%",490-6405-1-ND,,https://www.digikey.com/product-detail/en/murata-electronics/GRM188R60J106ME47J/490-6405-1-ND/3845602
5,Unpolarised capacitor,CP_Small,C43,10u,C_0603,1,"6,3V/X5R/20%",491-6405-1-ND,,https://www.digikey.com/product-detail/en/murata-electronics/GRM188R60J106ME47J/490-6405-1-ND/3845602
6,Unpolarized capacitor,C_Small,C34 C35 C36 C37 C38 C39 C40 C41 C55 C56 C57 C58,1n,C_0603,12,50V/X7R/10%,399-17567-1-ND,,https://www.digikey.com/product-detail/en/kemet/C0603C102K5RAC7411/399-17567-1-ND/8572567
7,Unpolarized capacitor,C,C6 C10 C32 C33 C54,1u,C_0603,5,"6,3V/X5R/10%",478-5317-1-ND,,https://www.digikey.com/product-detail/en/avx-corporation/06036D105MAT2A/478-5317-1-ND/1950984
8,Unpolarized capacitor,C_Small,C13 C15 C45,22n,C_0603,3,50V/X7R/10%,399-1280-1-ND,,https://www.digikey.com/product-detail/en/kemet/C0603C223K5RACTU/399-1280-1-ND/416056
9,,Csmall,C7 C11,22p,C_0603,2,50V/C0G/10%,N/A,581-06035A220K4T2A,https://www.mouser.com/ProductDetail/AVX/06035A220K4T2A?qs=3Jn2UXegTRDPmH5bTj%252BZdA%3D%3D
10,"Diode, alternativ symbol",D_ALT,D6 D7,BAS16HT1G,SOD-323,2,,BAS16HT1GOSCT-ND,,https://www.digikey.com/product-detail/en/on-semiconductor/BAS16HT1G/BAS16HT1GOSCT-ND/917795
11,"LED, small symbol, alternativ symbol",LED_Small_ALT,D14 D16 D18 D20 D22,KPA-3010MGC,LED-1104,5,,516-1726-1-ND,,https://www.digikey.com/product-detail/en/broadcom-limited/HSMG-C680/516-1726-1-ND/1786275
12,"LED, small symbol, alternativ symbol",LED_Small_ALT,D15 D17 D19 D21 D23,KPA-3010SECK,LED-1104,5,,516-1727-1-ND,,https://www.digikey.com/product-detail/en/broadcom-limited/HSMH-C680/516-1727-1-ND/1786276
13,"LED generic, alternativ symbol",LED_ALT,D8,RX,LED_0805,1,,160-1468-1-ND,,https://www.digikey.com/product-detail/en/lite-on-inc/LTST-S220KGKT/160-1468-1-ND/386874
14,"Diode, alternativ symbol",D_ALT,D1,SK310SMA-DIO,SMA_Standard,1,,B360A-FDICT-ND,,https://www.digikey.com/product-detail/en/diodes-incorporated/B360A-13-F/B360A-FDICT-ND/724980
15,"LED generic, alternativ symbol",LED_ALT,D9,TX,LED_0805,1,,160-1470-1-ND,,https://www.digikey.com/product-detail/en/lite-on-inc/LTST-S220KSKT/160-1470-1-ND/386878
